client_ts_utc,request_index,attempt_index,target_address,success,grpc_code,grpc_details,latency_ms_client,server_elapsed_ms,algo_reported_ms,replica_id,size,mode,threads
2025-12-23T14:44:23.687428Z,34,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.348,0.000,0.000,,1024,omp,4
2025-12-23T14:44:24.202943Z,35,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.546,0.000,0.000,,1024,omp,4
2025-12-23T14:44:24.714235Z,36,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.017,0.000,0.000,,1024,omp,4
2025-12-23T14:44:25.226967Z,37,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.671,0.000,0.000,,1024,omp,4
2025-12-23T14:44:25.744802Z,38,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.201,0.000,0.000,,1024,omp,4
2025-12-23T14:44:26.257632Z,39,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.589,0.000,0.000,,1024,omp,4
2025-12-23T14:44:26.770915Z,40,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.611,0.000,0.000,,1024,omp,4
2025-12-23T14:44:27.284987Z,41,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.232,0.000,0.000,,1024,omp,4
2025-12-23T14:44:27.799926Z,42,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.652,0.000,0.000,,1024,omp,4
2025-12-23T14:44:28.311735Z,43,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.693,0.000,0.000,,1024,omp,4
2025-12-23T14:44:28.825630Z,44,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.359,0.000,0.000,,1024,omp,4
2025-12-23T14:44:29.338879Z,45,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.113,0.000,0.000,,1024,omp,4
2025-12-23T14:44:29.853556Z,46,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.291,0.000,0.000,,1024,omp,4
2025-12-23T14:44:30.363677Z,47,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.992,0.000,0.000,,1024,omp,4
2025-12-23T14:44:30.877277Z,48,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.508,0.000,0.000,,1024,omp,4
2025-12-23T14:44:31.379983Z,49,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.535,0.000,0.000,,1024,omp,4
2025-12-23T14:44:31.897254Z,50,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.661,0.000,0.000,,1024,omp,4
2025-12-23T14:44:32.413811Z,51,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.163,0.000,0.000,,1024,omp,4
2025-12-23T14:44:32.925593Z,52,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.513,0.000,0.000,,1024,omp,4
2025-12-23T14:44:33.435671Z,53,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.015,0.000,0.000,,1024,omp,4
